generation,mauve,perplexity,distinct_2
0,0.017098141457801683,21.069590563147216,0.28293225125476196
1,0.01508649300961808,31.81220431465057,0.22349932221482674
2,0.01501449845033302,40.4418610706931,0.1818337840743009
3,0.012112599041280318,47.418588186012364,0.15488384904967403
4,0.012441856283733174,53.67838023285662,0.1376723491217632
5,0.009196345102332974,59.73719755255394,0.11220798850243896
6,0.00868929324229154,64.28977386583223,0.08949596181039965
7,0.00723625166098321,68.17807642000776,0.06738729643331913
8,0.005781772350170529,71.04279160302119,0.04955213843633563
9,0.006146692914534915,72.77731319544748,0.048481253376968736
10,0.00616718071649654,77.00239207802842,0.04551814482679916
