generation,mse_mean,mse_std,pred_diff_mean,pred_diff_std
0,0.0020141491972555667,0.001296312386713792,0.042782299666212706,0.013558172167587442
1,0.0020135779446235243,0.0012963318486126554,0.04277525387295397,0.013559336293781513
2,0.002013246352334621,0.001296686433901377,0.04277021554123158,0.013563001691779488
3,0.0020127279525770777,0.0012968387311815413,0.04276368288320426,0.013564489627030617
4,0.00201236972739398,0.0012972796716991181,0.04275820295394499,0.01356855952351723
5,0.0020118529751693794,0.001297340784537638,0.04275155513770261,0.013570464563800065
6,0.0020114903978622973,0.0012975620411625204,0.04274643294172029,0.013573240903384402
7,0.0020110009291382093,0.0012976195200066116,0.042740246670808245,0.013574691291394948
8,0.0020105288743749866,0.0012976728163641598,0.04273432020538531,0.0135759622479802
9,0.002010115959748769,0.0012980369013137136,0.04272805201337721,0.013580483455713228
10,0.0020095746735647193,0.0012982830132663283,0.04272051902654832,0.013584252930030488
11,0.0020091638940027785,0.0012986889510716868,0.042714216875741416,0.013588950316154142
12,0.0020085761285185103,0.0012989218485671681,0.04270636941115316,0.013591988089923863
13,0.002008144922206555,0.0012990448042355038,0.04270077108129598,0.01359371440296256
14,0.002007838057401497,0.0012993285960642368,0.04269630177739066,0.013596465420670327
15,0.0020074896872004622,0.0012997627829072552,0.042690718854636184,0.013601184171787139
16,0.0020073416251550325,0.001300063834681616,0.042688235150071,0.013603536486049322
17,0.002007080318615055,0.001300417407013457,0.04268402325303833,0.013607148031425938
18,0.002006907847070231,0.0013007237699005586,0.04268117388563027,0.01360974808050549
19,0.002006617252804324,0.001301091804343058,0.042676477666158244,0.013613798397736783
20,0.002006398100058506,0.0013014452740081792,0.0426731116531116,0.013616300595226921
