generation,delta_norm_mean,delta_norm_std,mse_mean,mse_std
0,0.6471555275526159,0.04862409708385931,0.01483811078778927,0.0025717296491313945
1,0.8795819498643022,0.08894017011531495,0.02908026741539796,0.007190980043242836
2,1.0817129303987438,0.11400991667744279,0.041819098285762954,0.00762684606553981
3,1.240375962655694,0.16907039040211086,0.053460849386813857,0.009058037179323361
4,1.4164027631146023,0.25818179495326,0.06811634605819503,0.01858085625272588
5,1.5419494757313543,0.22193669513404737,0.08408316915312197,0.021858584866308924
6,1.584237916300839,0.22935543432243916,0.09565881763888122,0.025903102455929188
7,1.6977942573295919,0.2249572159010283,0.1050150359039986,0.018961569900086725
8,1.812638493139588,0.2710270906861742,0.12141319433012261,0.026618033484719607
9,1.9355078028403554,0.3186210372030196,0.1417329635145213,0.029830217337671102
10,2.0319537492384208,0.33880542970609473,0.15771094061131258,0.03762579031417863
11,2.1313370188602336,0.4309608214810323,0.17410643443265078,0.050708340999847286
12,2.2001375444023923,0.39184651534944626,0.18470259226275976,0.04569879594868123
13,2.338043536341676,0.3472034324704955,0.20885714314210876,0.04444862354118871
14,2.343358913475665,0.3360754946747861,0.2052923491298282,0.04187094524560061
15,2.4162197107204397,0.3532342547930134,0.22185382622001085,0.0514213533489299
16,2.480225284750892,0.3515633973670905,0.2376358911650398,0.05274703663720774
17,2.51958578006404,0.26819521480176917,0.2516856729816359,0.039446788233293686
18,2.572912416073407,0.3189261786435161,0.26363865021012045,0.04707450107653308
19,2.689415448794655,0.2835505784588137,0.2881155269575296,0.04382746040819026
20,2.688584987075129,0.2735930061840222,0.28813710791322394,0.05027905885278636
