generation,real_W,bias_0.0_W,bias_0.0_gap,bias_0.1_W,bias_0.1_gap,bias_0.3_W,bias_0.3_gap,bias_0.5_W,bias_0.5_gap,bias_1.0_W,bias_1.0_gap,bias_2.0_W,bias_2.0_gap
0,0.030919630705868378,0.030919630705868378,0.0,0.030919630705868378,0.0,0.030919630705868378,0.0,0.030919630705868378,0.0,0.030919630705868378,0.0,0.030919630705868378,0.0
1,0.024292734711044307,0.03090913962955046,0.006616404918506152,0.09172301086480258,0.06743027615375828,0.32277416007009635,0.29848142535905203,0.5600854075525866,0.5357926728415423,1.1758586119003256,1.1515658771892814,2.481293905033813,2.4570011703227688
2,0.019823177747536475,0.030899436093805015,0.01107625834626854,0.20629365407727435,0.18647047632973787,0.680780057459099,0.6609568797115625,1.175842025005464,1.1560188472579276,2.481263961906767,2.4614407841592305,5.264187682646177,5.24436450489864
3,0.02555544402614159,0.030889364413235126,0.005333920387093537,0.322757659516488,0.2972022154903464,1.0503385105140464,1.0247830664879047,1.8181440046401174,1.7925885606139758,3.8524826431527996,3.8269271991266582,8.154695864758263,8.129140420732123
4,0.02052256731119017,0.03088042312356411,0.010357855812373942,0.440695267615383,0.42017270030419285,1.4298977475681902,1.409375180257,2.481200716066234,2.460678148755044,5.264077076986157,5.243554509674968,11.091633253272269,11.071110685961079
5,0.02245429092014949,0.030869771192495614,0.008415480272346124,0.5600404872416668,0.5375861963215173,1.8180929713505996,1.79563868043045,3.1604479493712603,3.137993658451111,6.7010327345353975,6.678578443615248,14.051531758417662,14.029077467497512
6,0.026813194399713774,0.030860631573932894,0.004047437174219119,0.6807308719041212,0.6539176775044074,2.2137367239155923,2.1869235295158784,3.8523519567626368,3.825538762362923,8.15447401523988,8.127660820840166,17.02418031477196,16.997367120372246
7,0.031205372924173625,0.030850435558378707,-0.0003549373657949183,0.8027021962129004,0.7714968232887268,2.6157970735557106,2.584591700631537,4.554188903332182,4.522983530408009,9.619014372192765,9.587808999268592,20.004531761774466,19.973326388850293
8,0.02631242871931038,0.030840966314457534,0.004528537595147153,0.9258930974409652,0.8995806687216548,3.0233799773486703,2.99706754862936,5.263866733600468,5.237554304881157,11.091280134740241,11.064967706020932,22.989863103197884,22.963550674478572
9,0.0225302252632811,0.030831266998458152,0.008301041735177053,1.0502491012224646,1.0277188759591835,3.435727867086638,3.413197641823357,5.979790168933655,5.9572599436703735,12.569098786539637,12.546568561276356,25.978574928624983,25.9560447033617
10,0.03418141233372547,0.030822596608156803,-0.0033588157255686688,1.1757104205692095,1.141529008235484,3.852188799757196,3.8180073874234703,6.700725956516214,6.666544544182488,14.051023085793485,14.01684167345976,28.969696624212173,28.935515211878446
11,0.022974749244837576,0.03081417383855257,0.007839424593714995,1.3022274825456541,1.2792527333008166,4.2722126476458495,4.249237898401012,7.42572681774048,7.4027520684956425,15.536053812049568,15.51307906280473,31.962588250786677,31.93961350154184
12,0.022242549388424952,0.030804724437413694,0.008562175048988742,1.4297486007383673,1.4075060513499424,4.695321256852319,4.673078707463894,8.154047229403574,8.131804680015149,17.02347450002309,17.001231950634665,34.9567866706854,34.93454412129698
13,0.022769407333040958,0.030797017267876946,0.008027609934835988,1.5582262335333674,1.5354568262003265,5.121115527569624,5.098346120236583,8.885106287707341,8.8623368803743,18.512780437170342,18.4900110298373,37.9520089344897,37.92923952715665
14,0.022709951443763914,0.030789052355662733,0.008079100911898819,1.687613527414112,1.664903575970348,5.549253728722767,5.526543777279003,9.61845053995533,9.595740588511566,20.003600507407544,19.98089055596378,40.94804591287637,40.9253359614326
15,0.030897335299615213,0.03078049266906614,-0.0001168426305490737,1.817867864067835,1.7869705287682198,5.979441234485229,5.948543899185614,10.353703171221673,10.322805835922058,21.495643617401665,21.46474628210205,43.94472204008283,43.91382470478322
