generation,real_mauve,real_delta,bias_0.0_mauve,bias_0.0_delta,bias_0.1_mauve,bias_0.1_delta,bias_0.3_mauve,bias_0.3_delta,bias_0.5_mauve,bias_0.5_delta,bias_1.0_mauve,bias_1.0_delta,bias_2.0_mauve,bias_2.0_delta
0,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05,0.9999043005830329,9.569941696707662e-05
1,0.9999938479402664,6.152059733643966e-06,0.9999040689544708,9.593104552918508e-05,0.9999865235983041,1.3476401695911022e-05,0.998988271004997,0.001011728995003014,0.9946224639058814,0.005377536094118618,0.9715939790340279,0.028406020965972112,0.8746894139070173,0.12531058609298273
2,0.9999132603387525,8.673966124750354e-05,0.9999039445648981,9.605543510193826e-05,0.9997799651336962,0.00022003486630384206,0.9915959563586734,0.00840404364132663,0.9715939790340279,0.028406020965972112,0.8746894139070173,0.12531058609298273,0.6691923006191539,0.3308076993808461
3,0.9999997850600355,2.1493996449351016e-07,0.9999039445648981,9.605543510193826e-05,0.998988271004997,0.001011728995003014,0.9775403270176354,0.02245967298236462,0.9339126193514978,0.06608738064850217,0.7327392052875782,0.2672607947124218,0.6594864807707704,0.34051351922922957
4,0.999998728206578,1.2717934220196625e-06,0.9999039429802866,9.605701971338032e-05,0.9972941968197441,0.002705803180255928,0.958527858715429,0.041472141284570996,0.8746894139070173,0.12531058609298273,0.6693090385340571,0.3306909614659429,0.653969603067432,0.346030396932568
5,0.9999954377549223,4.562245077721627e-06,0.9999012710191361,9.8728980863938e-05,0.9946487980342517,0.005351201965748342,0.933853462866955,0.06614653713304497,0.8033377749580518,0.1966622250419482,0.6633509447022498,0.33664905529775024,0.6496174131007445,0.3503825868992555
6,0.9999917929899257,8.20701007431257e-06,0.9998986743237216,0.0001013256762784076,0.9916119826708784,0.008388017329121644,0.8988763602676254,0.10112363973237459,0.7327392052875782,0.2672607947124218,0.6594864807707704,0.34051351922922957,0.6467897356326856,0.3532102643673144
7,0.9999344246955246,6.557530447537374e-05,0.9998960215921429,0.00010397840785714152,0.98799619654226,0.012003803457739992,0.8587722302008953,0.14122776979910467,0.6735021195324818,0.32649788046751815,0.6567887191626185,0.3432112808373815,0.644077100418565,0.35592289958143497
8,0.9999947001385605,5.299861439489462e-06,0.9998958850467486,0.00010411495325135522,0.9834657606902062,0.016534239309793808,0.8167333192996047,0.1832666807003953,0.6693090385340571,0.3306909614659429,0.653969603067432,0.346030396932568,0.6421883544958296,0.35781164550417044
9,0.9999796584210112,2.034157898878064e-05,0.9998958850467486,0.00010411495325135522,0.9775744356784314,0.022425564321568614,0.7764785467404448,0.2235214532595552,0.6660396962859653,0.33396030371403473,0.6515005225143365,0.34849947748566346,0.6412435386115762,0.35875646138842376
10,0.9999347197129399,6.528028706009881e-05,0.9998958850467486,0.00010411495325135522,0.9716334372534412,0.0283665627465588,0.7327392052875782,0.2672607947124218,0.6633509447022498,0.33664905529775024,0.6496174131007445,0.3503825868992555,0.639589058775577,0.36041094122442296
11,0.9999994219969612,5.780030387647628e-07,0.9998958850467486,0.00010411495325135522,0.966028827057441,0.033971172942559025,0.6817342171394981,0.3182657828605019,0.6611269100610945,0.3388730899389055,0.6482040598889226,0.3517959401110774,0.6382885828676202,0.36171141713237975
12,0.9999987661618787,1.2338381213394811e-06,0.9998931157017106,0.00010688429828942247,0.958527858715429,0.041472141284570996,0.6721055834823763,0.32789441651762374,0.6594864807707704,0.34051351922922957,0.6467897356326856,0.3532102643673144,0.636869028560225,0.363130971439775
13,0.9999998382393626,1.6176063744044455e-07,0.9998931157017106,0.00010688429828942247,0.9498501019972684,0.05014989800273162,0.6702418153866745,0.3297581846133255,0.6578447462337831,0.3421552537662169,0.645021106745879,0.354978893254121,0.6349752567576498,0.36502474324235024
14,0.9999679378701088,3.206212989115276e-05,0.9998931157017106,0.00010688429828942247,0.9420127867666194,0.05798721323338063,0.6680253658654723,0.33197463413452766,0.6567887191626185,0.3432112808373815,0.644077100418565,0.35592289958143497,0.6341465818642167,0.3658534181357833
15,0.9999127215633203,8.727843667966084e-05,0.9998931157017106,0.00010688429828942247,0.933853462866955,0.06614653713304497,0.6660396962859653,0.33396030371403473,0.6552619217456591,0.3447380782543409,0.6428968136476195,0.3571031863523805,0.6340281577340754,0.3659718422659246
