generation,mse_mean,mse_std,pred_diff_mean,pred_diff_std
0,0.0020141491972555004,0.0012963123867135856,0.042782299666210236,0.01355817216759281
1,0.0020135779446238686,0.0012963318486113797,0.04277525387295812,0.013559336293781147
2,0.002013246352336006,0.0012966864338994795,0.042770215541249545,0.013563001691773921
3,0.0020127279525776983,0.0012968387311795674,0.042763682883214874,0.01356448962702002
4,0.0020123697273954017,0.0012972796716963471,0.04275820295396657,0.01356855952350162
5,0.0020118529751692723,0.0012973407845351427,0.042751555137707536,0.013570464563780596
6,0.0020114903978617283,0.001297562041159841,0.04274643294172017,0.013573240903363822
7,0.002011000929137292,0.0012976195200035835,0.0427402466708057,0.01357469129136918
8,0.0020105288743747507,0.0012976728163599854,0.042734320205394624,0.013575962247942167
9,0.002010115959748835,0.001298036901309284,0.04272805201338988,0.013580483455675751
10,0.0020095746735650103,0.0012982830132628339,0.04272051902655863,0.013584252930008792
11,0.002009163894002949,0.0012986889510685515,0.04271421687575055,0.013588950316131694
12,0.0020085761285185784,0.0012989218485628864,0.04270636941116286,0.013591988089895889
13,0.0020081449222057795,0.001299044804230637,0.04270077108129774,0.013593714402928513
14,0.0020078380574029683,0.0012993285960597818,0.042696301777418316,0.013596465420637608
15,0.0020074896872016228,0.0012997627829010748,0.04269071885466407,0.01360118417174227
16,0.002007341625157008,0.0013000638346759893,0.04268823515010557,0.013603536486013462
17,0.002007080318616436,0.001300417407007119,0.04268402325306704,0.01360714803138659
18,0.0020069078470715714,0.0013007237698945487,0.042681173885658175,0.013609748080467233
19,0.002006617252804564,0.0013010918043378757,0.042676477666171296,0.01361379839770469
20,0.00200639810005957,0.0013014452740025097,0.04267311165313692,0.013616300595186627
