generation,delta_mean,wasserstein_mean
0,0.5637662484471082,0.01714890922210494
1,0.7619176244625582,0.027360775700999172
2,0.9518552191836868,0.04354466140769192
3,1.0909175783941407,0.056009949954398744
4,1.2283102541442525,0.06248775703132932
5,1.3188529002229177,0.06839270156281613
6,1.447847189956288,0.08455283000615874
7,1.5745832706107863,0.107575292600369
8,1.672743778011212,0.12246336649576776
9,1.7236078468778662,0.12417465574051567
10,1.7666611219518447,0.13104115215306264
11,1.8191933469835508,0.13623666012118935
12,1.912958049070178,0.1452031611320746
13,2.041109558757463,0.1579712176283647
14,2.104256829349807,0.16451372087575908
15,2.181770158117904,0.18270904283361872
16,2.2794002767064723,0.1944737274773519
17,2.3539356092971437,0.19957870115247162
18,2.469058163594655,0.2184910014016539
19,2.557071009639391,0.2273029719111368
20,2.606720128391774,0.23612820941049123
